,title,price,commit,shop_name,href,brand,RAM,SSD,GPU,CPU,screen
21,惠普(HP)战66四代 14英寸轻薄笔记本电脑(英特尔酷睿11代i5 16G 512G 400尼特高色域 一年上门+意外 2年电池),5299.00,20万+,惠普京东自营官方旗舰店,https://item.jd.com/100016756050.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：intel 集成显卡,i5-1135G7,14英寸
22,华为笔记本电脑MateBook 14 2021款 14.0英寸11代酷睿i5 16G 512G 锐炬显卡/2K触控轻薄本 /多屏协同 深空灰,5699.00,10万+,华为京东自营官方旗舰店,https://item.jd.com/100010022425.html,华为（HUAWEI）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1135G7,14英寸
23,联想笔记本电脑小新Air14锐龙版 14英寸全面屏办公轻薄本(6核R5-5500U 16G 512G 高色域 WiFi6)深空灰,4699.00,20万+,联想京东自营旗舰店,https://item.jd.com/100018584132.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R5-5500U,14英寸
24,LG gram 16英寸轻薄本 11代酷睿升级版 Evo平台 Win11 笔记本电脑(11代i7 32G 1TBSSD 锐炬显卡 雷电4)黑,11299.00,5000+,LG笔记本电脑京东自营旗舰店,https://ccc-x.jd.com/dsp/nc?ext=aHR0cDovL2l0ZW0uamQuY29tLzEwMDAzMTQ5OTc0Ni5odG1s&log=4oBeJFpkHhdY3yBzfqxSGhGV6xSqXHwh-y2ObK9xQYMBpYFooOLo7RLcFKFR8lh0ne3DLiH80D63snwC5en1mytBpHxubPR6zOBRzHo7iN4IuOpJZ77N3B8JtXjfhIF0UUgPgO9Uu5D77Y0lp0BvRv_G4mu-BisK-l868kh6w0sAKYNvj6vG4LVB9Ylb1DcofVz2xhynnLYSUwfCiNOyFXq6T-RS43KBVkP9Dap4GZVdHTwXGnyN5nHjZ0shDUQTqL7pt3IJAWX2oAYHq3j6twlIeWQtVgkn4AEvE6-qkNjAvBLbaZd8wH4r1O0TXqr1swfGV8X4eufjAT-nACjY8eCJTi8idEVOB-840-nIaX7hi1N4t-4SEVH_okkJ5-97ugMnvn764hot9BRvx9pC9xuU1bmDcbj3wna8hQUTgKjztVR4XpSx2UEHpSjxE9vxWBFI3EDxMY-1BP74QdItTwgODJiSYz-ZuhBDQRIWyl5tSUX15PnC_swtz-v2JgiiExHdaPIjmhScD6CHj96tfGDtZRea11ZDiMhWxUy6WEUn9lsEmkBzvyQg2EkikSnlSfioR5k8I_4lp0okkM3pqenRCP0EHycJOgOT2dGYxRFnn2UYlGH0rW3iYq-VT50NCgWftby4di3fOP9unUm28kBdvjQgW8XYjChDcHpjnjCP4q1sSuEZyLDwVIjmBYD117CLjMG3l49YcMBKHrlnyQrJ7rS3YCF-pXgm52cQsLXEf4NOMCFO-zaXr5G03oOIUFsTbUhcV-XTtj3PPeOye9liZj-tXJSXj8pVpiNnL0L_zBnjrkOJ7Up__YbC7oWbQ868bJbetGlm4aKDPHIUoG5qWSrZze7Cdmq42ZFI0YbLXP3HAOk20to2Trtk0mitXbOOUv2NwjS8wh9Ky1IHQSBoPSUAV6JlrsXNiiaomt_c1qMmw2fcFi2TRj4BRNF3GKx_JdUiCzzwtRtVu8rdcO8mi1qAmnYJTjn_WsmYiiVDXT7JBBcuCXBLvnZpSihyqwGXgts4B6ZuAmqiwhP_OfolH7PmtmWi_FK5Myskj6Gr7wEObY9UtSu8xS1WAPC7IVddOUgovOpH5F_QoPv8GggHwhkaR0uq2UBgk8EjgdU908hqBu0WgNJL145wHUwDOqO5n0dH4NiTpEYhkZFKz7EIHceBKT95aQpvqhmgwy0UIk8_6GpDqwCSSOj1AOsZyErXtqmllrkZhunbG_D0wA&v=404,LG,内存容量：32GB,固态硬盘（SSD）：1TB,显卡型号：intel 集成显卡,i7-1195G7,16英寸
25,"京品电脑
联想笔记本电脑ThinkPad X1 Carbon 2021款 Evo平台 14英寸11代酷睿i5 16G 512G /4G版/16:10微边框",9969.00,2万+,ThinkPad京东自营旗舰店,https://item.jd.com/100020822576.html,ThinkPad,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1135G7,14英寸
26,联想（Lenovo）小新Air15 2021款15.6英寸全面屏11代酷睿超轻薄学生游戏笔记本电脑 标配 i5-1155G7 16G内存 512G固态 锐炬XE高性能显卡,5399.00,2万+,联想众信授权专卖店,https://item.jd.com/10031568720333.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：intel 集成显卡,i5-1155G7,15.6英寸
27,联想笔记本电脑 小新AIR14 锐龙版R5 2021新款 大学生轻薄本游戏办公商务超薄笔记本电脑 升配：R5-5500U丨8GB丨512G固态,5199.00,10万+,联想华北授权专卖店,https://item.jd.com/47878949717.html,联想（Lenovo）,内存容量：16GB,特性：PCI-E高速固态硬盘，背光键盘，指纹识别,显卡型号：AMD 集成显卡,R5-5500U,14英寸
28,荣耀笔记本MagicBook X 14 2021 14英寸全面屏轻薄笔记本电脑 （i3 8GB 256GB多屏协同）冰河银,3499.00,10万+,荣耀京东自营旗舰店,https://item.jd.com/100021400870.html,荣耀（HONOR）,内存容量：8GB,固态硬盘（SSD）：256GB,显卡型号：集成显卡,i3-10110U,14英寸
29,荣耀MagicBook 16 Pro 2021 16.1英寸高性能标压轻薄游戏笔记本电脑(R7-5800H 16+512G 144Hz RTX3050)星空灰,7299.00,10万+,荣耀京东自营旗舰店,https://item.jd.com/100026699676.html,荣耀（HONOR）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：RTX 3050,R7-5800H,16.1英寸
30,联想笔记本电脑 YOGA13s锐龙版 13.3英寸全面屏商务办公超轻薄本(R5-5600U 16G 512G 2.5K 低蓝光 护眼屏),4999.00,2万+,联想京东自营旗舰店,https://item.jd.com/100026957660.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R5-5600U,13.3英寸
